latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,FRP MW,daynight,type
34.1359,74.095,375.7,1.1,1,27-10-2019,547,Terra,MODIS,100,6.03,303.7,153.3,15.33,D,0
20.9603,85.1756,321,1.1,1,27-10-2019,1644,Terra,MODIS,100,6.03,293.3,19.3,1.93,N,2
29.8834,75.8025,365.7,1.1,1,28-10-2019,805,Aqua,MODIS,100,6.03,305.9,104.7,10.47,D,0
20.961,85.1829,320.1,1.1,1,28-10-2019,2013,Aqua,MODIS,100,6.03,294.1,18.7,1.87,N,2
20.9635,85.1785,321,1,1,29-10-2019,1632,Terra,MODIS,100,6.03,295.1,17.5,1.75,N,2
27.7323,102.2191,322,1.3,1.1,30-10-2019,1538,Terra,MODIS,100,6.03,284.2,33,3.3,N,2
26.5784,101.666,325.3,1.2,1.1,30-10-2019,1538,Terra,MODIS,100,6.03,288.5,31.6,3.16,N,2
26.5823,101.6675,336.6,1,1,31-10-2019,1903,Aqua,MODIS,100,6.03,287.4,39.1,3.91,N,2
26.5751,101.6623,328.3,1,1,01-11-2019,1526,Terra,MODIS,100,6.03,291.6,26.2,2.62,N,2
27.7292,102.2096,333.8,1.1,1.1,03-11-2019,1514,Terra,MODIS,100,6.03,285.4,43,4.3,N,2
37.2971,64.7067,358.8,1.1,1,22-10-2019,844,Aqua,MODIS,99,6.03,305.2,77.7,7.77,D,0
26.5818,101.6706,319.9,1,1,22-10-2019,1909,Aqua,MODIS,99,6.03,290.1,19.2,1.92,N,2
29.7812,75.8648,359.4,1.1,1,28-10-2019,805,Aqua,MODIS,99,6.03,307.2,82.7,8.27,D,0
30.4043,75.0767,359.2,1.1,1.1,28-10-2019,805,Aqua,MODIS,99,6.03,303.8,92.6,9.26,D,0
30.8187,74.3474,358.7,1.4,1.2,31-10-2019,836,Aqua,MODIS,99,6.03,303.9,126.8,12.68,D,0
30.4654,75.5276,359.8,1.7,1.3,31-10-2019,836,Aqua,MODIS,99,6.03,303.6,166.6,16.66,D,0
27.7308,102.2058,319,1.3,1.1,30-10-2019,1538,Terra,MODIS,98,6.03,284.5,28.5,2.85,N,2
30.7137,74.731,353.5,1,1,26-10-2019,818,Aqua,MODIS,97,6.03,302.7,62.3,6.23,D,0
29.7794,75.8538,355,1.1,1,28-10-2019,805,Aqua,MODIS,97,6.03,309.7,70.7,7.07,D,0
30.424,76.3695,354.4,1,1,28-10-2019,805,Aqua,MODIS,97,6.03,303.8,65.6,6.56,D,0
20.9635,85.1835,318.5,1.1,1,30-10-2019,2000,Aqua,MODIS,97,6.03,295,16.3,1.63,N,2
30.2349,74.409,353.5,1.4,1.2,31-10-2019,836,Aqua,MODIS,97,6.03,302.5,106.3,10.63,D,0
30.8628,74.6893,352.7,1.4,1.2,21-10-2019,759,Aqua,MODIS,96,6.03,303.3,97.4,9.74,D,0
37.2953,64.6951,353.2,1.1,1,22-10-2019,844,Aqua,MODIS,96,6.03,312.2,62.4,6.24,D,0
30.7517,74.4735,351.5,1,1,26-10-2019,818,Aqua,MODIS,96,6.03,301.9,57.4,5.74,D,0
30.8384,74.7177,351.6,1.2,1.1,28-10-2019,805,Aqua,MODIS,96,6.03,303.7,72.3,7.23,D,0
30.7725,74.7639,352.3,1.2,1.1,28-10-2019,805,Aqua,MODIS,96,6.03,303.5,71.9,7.19,D,0
24.4701,81.6034,350.9,1.1,1,31-10-2019,524,Terra,MODIS,96,6.03,300.2,61.1,6.11,D,0
30.9104,71.9443,353.4,1.1,1,31-10-2019,836,Aqua,MODIS,96,6.03,303.6,70.8,7.08,D,0
26.5736,101.6699,317.9,1.2,1.1,03-11-2019,1513,Terra,MODIS,96,6.03,290.9,22.4,2.24,N,2
30.8189,74.5653,349.6,1.4,1.2,21-10-2019,759,Aqua,MODIS,95,6.03,304.1,88.9,8.89,D,0
31.1646,74.5279,349.5,1,1,26-10-2019,818,Aqua,MODIS,95,6.03,304.3,52,5.2,D,0
31.0702,75.2415,350.3,1.1,1,28-10-2019,805,Aqua,MODIS,95,6.03,302.7,62.6,6.26,D,0
30.778,74.7682,350.7,1.2,1.1,28-10-2019,805,Aqua,MODIS,95,6.03,303.3,67.9,6.79,D,0
30.7494,74.6828,349.6,1.2,1.1,28-10-2019,805,Aqua,MODIS,95,6.03,303.3,67.6,6.76,D,0
31.2512,74.5942,350.2,1.2,1.1,28-10-2019,806,Aqua,MODIS,95,6.03,302.9,66.1,6.61,D,0
24.4658,81.571,349.4,1.1,1,31-10-2019,524,Terra,MODIS,95,6.03,300.8,56.4,5.64,D,0
24.4825,81.5846,349.7,1.1,1,31-10-2019,524,Terra,MODIS,95,6.03,301.3,55.6,5.56,D,0
31.0286,75.1348,349.9,1.6,1.3,31-10-2019,836,Aqua,MODIS,95,6.03,301.9,108.5,10.85,D,0
29.7848,75.6507,350.9,1.7,1.3,31-10-2019,836,Aqua,MODIS,95,6.03,303.3,118.7,11.87,D,0
29.7468,75.9323,347.8,1,1,26-10-2019,817,Aqua,MODIS,94,6.03,301.6,50.9,5.09,D,0
31.263,74.6417,347.9,1,1,26-10-2019,818,Aqua,MODIS,94,6.03,302.8,49.8,4.98,D,0
30.5291,74.599,348.7,1,1,26-10-2019,818,Aqua,MODIS,94,6.03,302.4,53.1,5.31,D,0
30.3623,75.6486,348.2,1,1,26-10-2019,818,Aqua,MODIS,94,6.03,303,54,5.4,D,0
31.0466,74.7382,348.2,1,1,26-10-2019,818,Aqua,MODIS,94,6.03,302.1,47.5,4.75,D,0
30.9128,74.5677,348,1,1,26-10-2019,818,Aqua,MODIS,94,6.03,304.8,48.8,4.88,D,0
14.0967,78.4619,347.5,1.2,1.1,28-10-2019,801,Aqua,MODIS,94,6.03,296.8,67,6.7,D,0
30.1796,76.2245,347.7,1,1,28-10-2019,805,Aqua,MODIS,94,6.03,302.6,52.4,5.24,D,0
30.9916,74.8786,348.6,1.1,1.1,28-10-2019,805,Aqua,MODIS,94,6.03,303.5,60.4,6.04,D,0
30.4409,75.067,347.7,1.6,1.2,31-10-2019,836,Aqua,MODIS,94,6.03,301.9,97,9.7,D,0
20.965,85.1832,316.3,1,1,21-10-2019,2006,Aqua,MODIS,93,6.03,289.5,13.6,1.36,N,2
31.1623,74.5264,346.2,1.2,1.1,24-10-2019,830,Aqua,MODIS,93,6.03,301.4,61.5,6.15,D,0
